Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
684,2020,first,684first,0,1,0,3,16.03,0.5,3,1.5,4.5,,,,
684,2020,first,684first,0,1,0,5,14.71,0,2.5,2.5,5,,,,
684,2020,first,684first,0,1,0,7,15.07,1,2.5,2.5,5,68,,,
684,2020,first,684first,0,0,0,10,,,2,2,4,,,,
684,2020,first,684first,0,1,0,14,16.18,0.5,1,1,2,57,,,
684,2020,first,684first,0,0,0,17,,,0,0.5,0.5,,,,
684,2020,first,684first,0,1,0,21,16.14,1,0,0.5,0.5,65,,,
688,2020,first,688first,0,1,0,0,16.25,2,0,0,0,48,,,
688,2020,first,688first,0,1,0,1,15.69,1,0,0,0,,,,
688,2020,first,688first,0,1,0,3,15.28,1,1.5,1.5,3,,,,
688,2020,first,688first,0,1,0,5,,,,,0,,,,
688,2020,first,688first,0,1,0,7,15.23,1,2.5,2.5,5,48,,,
688,2020,first,688first,0,0,0,10,,,0.5,0.5,1,,,,
688,2020,first,688first,0,1,0,14,15.34,1,0.5,0.5,1,51,,,
688,2020,first,688first,0,0,0,17,,,0,0,0,,,,
688,2020,first,688first,0,1,0,21,15.42,2,0,0,0,52,,,
638,2023,second,638second,1,1,1,0,25.97,0.5,0,0,0,73,0.049264846,pos,0
638,2023,second,638second,1,1,0,1,24.66,0.5,0,0,0,,,,15.9044
638,2023,second,638second,1,1,0,3,18.24,0,2.5,2.5,5,,,,14.28877
638,2023,second,638second,1,1,0,5,21.57,0,1.5,1.5,3,,,,16.08881
638,2023,second,638second,1,1,1,7,22.38,0,0,1,1,70,0.067595952,pos,0
638,2023,second,638second,1,0,0,10,,,0,0.5,0.5,,,,
638,2023,second,638second,1,1,1,14,23.8,0,0,0,0,60,0.115677673,pos,0
638,2023,second,638second,1,0,0,17,,,0,0,0,,,,
638,2023,second,638second,1,1,1,21,23.8,0.5,0,0,0,70,0.101824059,pos,0
642,2023,second,642second,1,1,1,0,22.53,0,0,0,0,53,0.109413787,pos,0
642,2023,second,642second,1,1,0,1,21.8,0,0,0,0,,,,12.9654
642,2023,second,642second,1,1,0,3,20.66,0,1,0,1,,,,17.11432
642,2023,second,642second,1,1,0,5,20.23,0,0,0,0,,,,13.20476
642,2023,second,642second,1,1,1,7,21.27,0.5,0,0,0,51,0.108840939,pos,10.32071
642,2023,second,642second,1,0,0,10,,,0,0,0,,,,
642,2023,second,642second,1,1,1,14,22.17,0,0,0,0,52,0.121219118,pos,0
642,2023,second,642second,1,0,0,17,,,0,0,0,,,,
642,2023,second,642second,1,1,1,21,21.86,1,0,0,0,48,0.12329716,pos,0
645,2023,second,645second,0,1,0,0,18.76,0,0,0,0,49,,,
645,2023,second,645second,0,1,0,1,17.83,0,0.5,0,0.5,,,,
645,2023,second,645second,0,1,0,3,17.02,0,2,0,2,,,,
645,2023,second,645second,0,1,0,5,17.59,0,1,0,1,,,,
645,2023,second,645second,0,1,0,7,18.05,0,1,0.5,1.5,54,,,
645,2023,second,645second,0,0,0,10,,,0.5,0,0.5,,,,
645,2023,second,645second,0,1,0,14,19.17,0,0.5,0,0.5,50,,,
645,2023,second,645second,0,0,0,17,,,0.5,0,0.5,,,,
645,2023,second,645second,0,1,0,21,19.02,0,0.5,0,0.5,54,,,
646,2023,second,646second,0,1,0,0,18.96,1,0,0,0,60,,,
646,2023,second,646second,0,1,0,1,18.16,1,0,0,0,,,,
646,2023,second,646second,0,1,0,3,17.62,1,0,0,0,,,,
646,2023,second,646second,0,1,0,5,17.2,1,1,2,3,,,,
646,2023,second,646second,0,1,0,7,17.32,1,0,0,0,62,,,
646,2023,second,646second,0,0,0,10,,,0,0,0,,,,
646,2023,second,646second,0,1,0,14,19.75,2,0,0,0,62,,,
646,2023,second,646second,0,0,0,17,,,0,0,0,,,,
646,2023,second,646second,0,1,0,21,,,0,0,0,,,,
648,2023,second,648second,0,1,0,0,23.69,3,0,0,0,55,,,
648,2023,second,648second,0,1,0,1,22.05,3,0,0,0,,,,
648,2023,second,648second,0,1,0,3,19.72,3,0.5,0.5,1,,,,
648,2023,second,648second,0,1,0,5,17.85,2.5,1,1,2,,,,
648,2023,second,648second,0,1,0,7,18.17,2.5,0,1,1,63,,,
648,2023,second,648second,0,0,0,10,,,0.5,0,0.5,,,,
648,2023,second,648second,0,1,0,14,17.58,0.5,0,0,0,61,,,
648,2023,second,648second,0,0,0,17,,,0,0,0,,,,
648,2023,second,648second,0,1,0,21,20,2,0,0,0,55,,,
649,2023,second,649second,0,1,0,0,22.99,0.5,0,0,0,50,,,
649,2023,second,649second,0,1,0,1,22.21,0.5,0,0,0,,,,
649,2023,second,649second,0,1,0,3,21.61,1,1,0.5,1.5,,,,
649,2023,second,649second,0,1,0,5,21.65,1,0.5,0,0.5,,,,
649,2023,second,649second,0,1,0,7,21.29,1,0.5,0,0.5,48,,,
649,2023,second,649second,0,0,0,10,,,0,0,0,,,,
649,2023,second,649second,0,1,0,14,20.93,1,0,0,0,50,,,
649,2023,second,649second,0,0,0,17,,,0,0,0,,,,
649,2023,second,649second,0,1,0,21,20.99,1,0,0,0,48,,,
652,2023,second,652second,0,1,0,0,24.8,1,0,0,0,51,,,
652,2023,second,652second,0,1,0,1,21.28,0,0,0,0,,,,
652,2023,second,652second,0,1,0,3,19.73,0,2.5,2.5,5,,,,
652,2023,second,652second,0,1,0,5,20.68,1,1,1,2,,,,
652,2023,second,652second,0,1,0,7,20.54,0,0,0,0,62,,,
652,2023,second,652second,0,0,0,10,,,0,0,0,,,,
652,2023,second,652second,0,1,0,14,21.11,0,0,0,0,53,,,
652,2023,second,652second,0,0,0,17,,,0,0,0,,,,
652,2023,second,652second,0,1,0,21,22.47,0.5,0,0,0,47,,,
654,2023,second,654second,1,1,1,0,23.41,2,0,0,0,53,0.013175482,neg,0
654,2023,second,654second,1,1,0,1,22.16,2,0,0,0,,,,15.9841
654,2023,second,654second,1,1,0,3,19.05,1,1.5,1.5,3,,,,18.80965
654,2023,second,654second,1,1,0,5,20.24,1.5,0.5,0.5,1,,,,16.08881
654,2023,second,654second,1,1,1,7,20.23,1,0,0,0,46,0.038953599,pos,13.78157
654,2023,second,654second,1,0,0,10,,,0,0,0,,,,
654,2023,second,654second,1,1,1,14,21.18,2,0,0,0,52,0.043638882,pos,0
654,2023,second,654second,1,0,0,17,,,0,0,0,,,,
654,2023,second,654second,1,1,1,21,21.7,1.5,0,0,0,53,0.076887555,pos,0
657,2023,second,657second,1,1,1,0,20.91,0,0,0,0,51,0.053274776,pos,0
657,2023,second,657second,1,1,0,1,19.92,0,0,0,0,,,,13.5532
657,2023,second,657second,1,1,0,3,19.13,0,0,0,0,,,,15.9841
657,2023,second,657second,1,1,0,5,18.9,0.5,1,0,1,,,,13.20476
657,2023,second,657second,1,1,1,7,19.75,0.5,0,0,0,55,0.148367386,pos,0
657,2023,second,657second,1,0,0,10,,,0,0,0,,,,
657,2023,second,657second,1,1,1,14,20.01,0,0,0,0,55,0.156545832,pos,0
657,2023,second,657second,1,0,0,17,,,0,0,0,,,,
657,2023,second,657second,1,1,1,21,19.89,0,0,0,0,54,0.141306858,pos,0
660,2023,second,660second,1,1,1,0,22.32,0,0,0,0,50,0.060721787,pos,0
660,2023,second,660second,1,1,0,1,21.51,0,0,0,0,,,,13.5532
660,2023,second,660second,1,1,0,3,21.24,1,0.5,0.5,1,,,,15.9841
660,2023,second,660second,1,1,0,5,20.59,0.5,0,0.5,0.5,,,,14.93519
660,2023,second,660second,1,1,1,7,21.43,0.5,0,0,0,48,0.143211762,pos,11.6547
660,2023,second,660second,1,0,0,10,,,0,0,0,,,,
660,2023,second,660second,1,1,1,14,22.22,0,0,0,0,51,0.263911337,pos,0
660,2023,second,660second,1,0,0,17,,,0,0,0,,,,
660,2023,second,660second,1,1,0,21,21.4,0,0,0,0,55,,,0
662,2023,second,662second,1,1,1,0,24.46,0,0,0,0,59,0.036089364,pos,0
662,2023,second,662second,1,1,0,1,23.88,0,0.5,0,0.5,,,,14.7288
662,2023,second,662second,1,1,0,3,22.69,0,2.5,3,5.5,,,,19.37476
662,2023,second,662second,1,1,0,5,22.61,0,2,3,5,,,,16.08881
662,2023,second,662second,1,1,1,7,22.35,0,1,2,3,63,0.058430399,pos,12.20607
662,2023,second,662second,1,0,0,10,,,0.5,0,0.5,,,,
662,2023,second,662second,1,1,1,14,24.14,0.5,0,0,0,72,0.078272916,pos,0
662,2023,second,662second,1,0,0,17,,,0,0,0,,,,
662,2023,second,662second,1,1,0,21,23.66,0,0,0,0,59,,,0
664,2023,second,664second,1,1,1,0,28.97,1.5,0,0,0,55,0.047546305,pos,0
664,2023,second,664second,1,1,0,1,27.61,1.5,0,0,0,,,,14.85388
664,2023,second,664second,1,1,0,3,26.83,2,0.5,0.5,1,,,,0
664,2023,second,664second,1,1,0,5,26.69,2,0,0,0,,,,0
664,2023,second,664second,1,1,1,7,26.08,2,0,0,0,53,0.12329716,pos,0
664,2023,second,664second,1,0,0,10,,,0,0,0,,,,
664,2023,second,664second,1,1,1,14,28.02,1.5,0,0,0,52,0.196028631,pos,0
664,2023,second,664second,1,0,0,17,,,0,0,0,,,,
664,2023,second,664second,1,1,1,21,28.12,2,0,0,0,55,0.183560379,pos,0
665,2023,second,665second,1,1,1,0,21.74,0,0,0,0,53,0.006301318,neg,0
665,2023,second,665second,1,1,0,1,21.25,0,0,0,0,,,,15.41899
665,2023,second,665second,1,1,0,3,21.08,0.5,0.5,0.5,1,,,,17.11432
665,2023,second,665second,1,1,0,5,21.02,1,2,2,4,,,,18.97286
665,2023,second,665second,1,1,1,7,21.05,1,1.5,1,2.5,60,0.07203879,pos,0
665,2023,second,665second,1,0,0,10,,,0,0,0,,,,
665,2023,second,665second,1,1,1,14,22.84,0,0,0,0,55,0.067190025,pos,0
665,2023,second,665second,1,0,0,17,,,0,0,0,,,,
665,2023,second,665second,1,1,0,21,23.55,1,0,0,0,54,,,0
667,2023,second,667second,1,1,1,0,26.98,3,0,0,0,52,0.037807905,pos,0
667,2023,second,667second,1,1,0,1,26.26,2,0,0,0,,,,17.11432
667,2023,second,667second,1,1,0,3,23.72,2,3,2.5,5.5,,,,15.3166
667,2023,second,667second,1,1,0,5,22.35,2,1,1,2,,,,13.78157
667,2023,second,667second,1,1,1,7,23.98,3,1,1,2,65,0.103902101,pos,13.30881
667,2023,second,667second,1,0,0,10,,,0,0,0,,,,
667,2023,second,667second,1,1,1,14,25.21,3,0,0,0,56,0.066497345,pos,0
667,2023,second,667second,1,0,0,17,,,0,0,0,,,,
667,2023,second,667second,1,1,0,21,25.52,2,0,0,0,54,,,0
669,2023,second,669second,1,1,1,0,19.77,0,0,0,0,53,0.010884094,neg,0
669,2023,second,669second,1,1,0,1,18.87,0,0,0,0,,,,15.9841
669,2023,second,669second,1,1,0,3,18.43,0.5,1,1,2,,,,17.67943
669,2023,second,669second,1,1,0,5,18.23,0,1,1,2,,,,13.78157
669,2023,second,669second,1,1,1,7,18.29,0,0,0,0,55,0.053274776,pos,10.89752
669,2023,second,669second,1,0,0,10,,,0,0.5,0.5,,,,
669,2023,second,669second,1,1,1,14,18.7,0,0,0,0,50,0.115677673,pos,0
669,2023,second,669second,1,0,0,17,,,0,0,0,,,,
669,2023,second,669second,1,1,1,21,19.31,0.5,0,0,0,52,0.136458093,pos,0
