Bird.ID,year,Infection,Un.ID,sample,samplea,sampleb,day,Mass,Fat.Score,Eye.Score.Left,Eye.Score.Right,Eye,hem,ant,anta,pathlog
638,2023,second,638second,1,1,1,0,25.97,0.5,0,0,0,73,0.049264846,pos,0
638,2023,second,638second,1,1,0,1,24.66,0.5,0,0,0,,,,2.72825934
638,2023,second,638second,1,1,0,3,18.24,0,2.5,2.5,5,,,,2.703799745
638,2023,second,638second,1,1,0,5,21.57,0,1.5,1.5,3,,,,2.770472587
638,2023,second,638second,1,1,1,7,22.38,0,0,1,1,70,0.067595952,pos,1.74844515
638,2023,second,638second,1,0,0,10,,,0,0.5,0.5,,,,
638,2023,second,638second,1,1,1,14,23.8,0,0,0,0,60,0.115677673,pos,0
638,2023,second,638second,1,0,0,17,,,0,0,0,,,,
638,2023,second,638second,1,1,1,21,23.8,0.5,0,0,0,70,0.101824059,pos,1.809321147
642,2023,second,642second,1,1,1,0,22.53,0,0,0,0,53,0.109413787,pos,0
642,2023,second,642second,1,1,0,1,21.8,0,0,0,0,,,,2.476277654
642,2023,second,642second,1,1,0,3,20.66,0,1,0,1,,,,2.799298758
642,2023,second,642second,1,1,0,5,20.23,0,0,0,0,,,,2.409269908
642,2023,second,642second,1,1,1,7,21.27,0.5,0,0,0,51,0.108840939,pos,1.847978111
642,2023,second,642second,1,0,0,10,,,0,0,0,,,,
642,2023,second,642second,1,1,1,14,22.17,0,0,0,0,52,0.121219118,pos,0
642,2023,second,642second,1,0,0,17,,,0,0,0,,,,
642,2023,second,642second,1,1,1,21,21.86,1,0,0,0,48,0.12329716,pos,0
645,2023,second,645second,0,1,0,0,18.76,0,0,0,0,49,,,
645,2023,second,645second,0,1,0,1,17.83,0,0.5,0,0.5,,,,
645,2023,second,645second,0,1,0,3,17.02,0,2,0,2,,,,
645,2023,second,645second,0,1,0,5,17.59,0,1,0,1,,,,
645,2023,second,645second,0,1,0,7,18.05,0,1,0.5,1.5,54,,,
645,2023,second,645second,0,0,0,10,,,0.5,0,0.5,,,,
645,2023,second,645second,0,1,0,14,19.17,0,0.5,0,0.5,50,,,
645,2023,second,645second,0,0,0,17,,,0.5,0,0.5,,,,
645,2023,second,645second,0,1,0,21,19.02,0,0.5,0,0.5,54,,,
646,2023,second,646second,0,1,0,0,18.96,1,0,0,0,60,,,
646,2023,second,646second,0,1,0,1,18.16,1,0,0,0,,,,
646,2023,second,646second,0,1,0,3,17.62,1,0,0,0,,,,
646,2023,second,646second,0,1,0,5,17.2,1,1,2,3,,,,
646,2023,second,646second,0,1,0,7,17.32,1,0,0,0,62,,,
646,2023,second,646second,0,0,0,10,,,0,0,0,,,,
646,2023,second,646second,0,1,0,14,19.75,2,0,0,0,62,,,
646,2023,second,646second,0,0,0,17,,,0,0,0,,,,
646,2023,second,646second,0,1,0,21,,,0,0,0,,,,
648,2023,second,648second,0,1,0,0,23.69,3,0,0,0,55,,,
648,2023,second,648second,0,1,0,1,22.05,3,0,0,0,,,,
648,2023,second,648second,0,1,0,3,19.72,3,0.5,0.5,1,,,,
648,2023,second,648second,0,1,0,5,17.85,2.5,1,1,2,,,,
648,2023,second,648second,0,1,0,7,18.17,2.5,0,1,1,63,,,
648,2023,second,648second,0,0,0,10,,,0.5,0,0.5,,,,
648,2023,second,648second,0,1,0,14,17.58,0.5,0,0,0,61,,,
648,2023,second,648second,0,0,0,17,,,0,0,0,,,,
648,2023,second,648second,0,1,0,21,20,2,0,0,0,55,,,
649,2023,second,649second,0,1,0,0,22.99,0.5,0,0,0,50,,,
649,2023,second,649second,0,1,0,1,22.21,0.5,0,0,0,,,,
649,2023,second,649second,0,1,0,3,21.61,1,1,0.5,1.5,,,,
649,2023,second,649second,0,1,0,5,21.65,1,0.5,0,0.5,,,,
649,2023,second,649second,0,1,0,7,21.29,1,0.5,0,0.5,48,,,
649,2023,second,649second,0,0,0,10,,,0,0,0,,,,
649,2023,second,649second,0,1,0,14,20.93,1,0,0,0,50,,,
649,2023,second,649second,0,0,0,17,,,0,0,0,,,,
649,2023,second,649second,0,1,0,21,20.99,1,0,0,0,48,,,
652,2023,second,652second,0,1,0,0,24.8,1,0,0,0,51,,,
652,2023,second,652second,0,1,0,1,21.28,0,0,0,0,,,,
652,2023,second,652second,0,1,0,3,19.73,0,2.5,2.5,5,,,,
652,2023,second,652second,0,1,0,5,20.68,1,1,1,2,,,,
652,2023,second,652second,0,1,0,7,20.54,0,0,0,0,62,,,
652,2023,second,652second,0,0,0,10,,,0,0,0,,,,
652,2023,second,652second,0,1,0,14,21.11,0,0,0,0,53,,,
652,2023,second,652second,0,0,0,17,,,0,0,0,,,,
652,2023,second,652second,0,1,0,21,22.47,0.5,0,0,0,47,,,
654,2023,second,654second,1,1,1,0,23.41,2,0,0,0,53,0.013175482,neg,0
654,2023,second,654second,1,1,0,1,22.16,2,0,0,0,,,,2.778454962
654,2023,second,654second,1,1,0,3,19.05,1,1.5,1.5,3,,,,2.885552541
654,2023,second,654second,1,1,0,5,20.24,1.5,0.5,0.5,1,,,,2.726358016
654,2023,second,654second,1,1,1,7,20.23,1,0,0,0,46,0.038953599,pos,2.553566727
654,2023,second,654second,1,0,0,10,,,0,0,0,,,,
654,2023,second,654second,1,1,1,14,21.18,2,0,0,0,52,0.043638882,pos,1.280078767
654,2023,second,654second,1,0,0,17,,,0,0,0,,,,
654,2023,second,654second,1,1,1,21,21.7,1.5,0,0,0,53,0.076887555,pos,1.190742588
657,2023,second,657second,1,1,1,0,20.91,0,0,0,0,51,0.053274776,pos,0
657,2023,second,657second,1,1,0,1,19.92,0,0,0,0,,,,2.558428404
657,2023,second,657second,1,1,0,3,19.13,0,0,0,0,,,,2.76033415
657,2023,second,657second,1,1,0,5,18.9,0.5,1,0,1,,,,2.499919937
657,2023,second,657second,1,1,1,7,19.75,0.5,0,0,0,55,0.148367386,pos,0
657,2023,second,657second,1,0,0,10,,,0,0,0,,,,
657,2023,second,657second,1,1,1,14,20.01,0,0,0,0,55,0.156545832,pos,0
657,2023,second,657second,1,0,0,17,,,0,0,0,,,,
657,2023,second,657second,1,1,1,21,19.89,0,0,0,0,54,0.141306858,pos,0
660,2023,second,660second,1,1,1,0,22.32,0,0,0,0,50,0.060721787,pos,0
660,2023,second,660second,1,1,0,1,21.51,0,0,0,0,,,,2.53274417
660,2023,second,660second,1,1,0,3,21.24,1,0.5,0.5,1,,,,2.69121653
660,2023,second,660second,1,1,0,5,20.59,0.5,0,0.5,0.5,,,,2.640277577
660,2023,second,660second,1,1,1,7,21.43,0.5,0,0,0,48,0.143211762,pos,2.229195355
660,2023,second,660second,1,0,0,10,,,0,0,0,,,,
660,2023,second,660second,1,1,1,14,22.22,0,0,0,0,51,0.263911337,pos,1.223474205
660,2023,second,660second,1,0,0,17,,,0,0,0,,,,
660,2023,second,660second,1,1,0,21,21.4,0,0,0,0,55,,,0
662,2023,second,662second,1,1,1,0,24.46,0,0,0,0,59,0.036089364,pos,1.654316675
662,2023,second,662second,1,1,0,1,23.88,0,0.5,0,0.5,,,,2.685263734
662,2023,second,662second,1,1,0,3,22.69,0,2.5,3,5.5,,,,2.906597311
662,2023,second,662second,1,1,0,5,22.61,0,2,3,5,,,,2.746286927
662,2023,second,662second,1,1,1,7,22.35,0,1,2,3,63,0.058430399,pos,2.328766546
662,2023,second,662second,1,0,0,10,,,0.5,0,0.5,,,,
662,2023,second,662second,1,1,1,14,24.14,0.5,0,0,0,72,0.078272916,pos,1.257613176
662,2023,second,662second,1,0,0,17,,,0,0,0,,,,
662,2023,second,662second,1,1,0,21,23.66,0,0,0,0,59,,,1.4646331
664,2023,second,664second,1,1,1,0,28.97,1.5,0,0,0,55,0.047546305,pos,0
664,2023,second,664second,1,1,0,1,27.61,1.5,0,0,0,,,,2.657990534
664,2023,second,664second,1,1,0,3,26.83,2,0.5,0.5,1,,,,1.421556512
664,2023,second,664second,1,1,0,5,26.69,2,0,0,0,,,,1.322258223
664,2023,second,664second,1,1,1,7,26.08,2,0,0,0,53,0.12329716,pos,0
664,2023,second,664second,1,0,0,10,,,0,0,0,,,,
664,2023,second,664second,1,1,1,14,28.02,1.5,0,0,0,52,0.196028631,pos,0
664,2023,second,664second,1,0,0,17,,,0,0,0,,,,
664,2023,second,664second,1,1,1,21,28.12,2,0,0,0,55,0.183560379,pos,0
665,2023,second,665second,1,1,1,0,21.74,0,0,0,0,53,0.006301318,neg,0
665,2023,second,665second,1,1,0,1,21.25,0,0,0,0,,,,2.704100472
665,2023,second,665second,1,1,0,3,21.08,0.5,0.5,0.5,1,,,,2.734439019
665,2023,second,665second,1,1,0,5,21.02,1,2,2,4,,,,2.885907124
665,2023,second,665second,1,1,1,7,21.05,1,1.5,1,2.5,60,0.07203879,pos,1.780057187
665,2023,second,665second,1,0,0,10,,,0,0,0,,,,
665,2023,second,665second,1,1,1,14,22.84,0,0,0,0,55,0.067190025,pos,1.249968126
665,2023,second,665second,1,0,0,17,,,0,0,0,,,,
665,2023,second,665second,1,1,0,21,23.55,1,0,0,0,54,,,0
667,2023,second,667second,1,1,1,0,26.98,3,0,0,0,52,0.037807905,pos,0
667,2023,second,667second,1,1,0,1,26.26,2,0,0,0,,,,2.797444249
667,2023,second,667second,1,1,0,3,23.72,2,3,2.5,5.5,,,,2.696484754
667,2023,second,667second,1,1,0,5,22.35,2,1,1,2,,,,2.524064268
667,2023,second,667second,1,1,1,7,23.98,3,1,1,2,65,0.103902101,pos,2.432467759
667,2023,second,667second,1,0,0,10,,,0,0,0,,,,
667,2023,second,667second,1,1,1,14,25.21,3,0,0,0,56,0.066497345,pos,1.215023625
667,2023,second,667second,1,0,0,17,,,0,0,0,,,,
667,2023,second,667second,1,1,0,21,25.52,2,0,0,0,54,,,1.947370849
669,2023,second,669second,1,1,1,0,19.77,0,0,0,0,53,0.010884094,neg,0
669,2023,second,669second,1,1,0,1,18.87,0,0,0,0,,,,2.753122705
669,2023,second,669second,1,1,0,3,18.43,0.5,1,1,2,,,,2.835765054
669,2023,second,669second,1,1,0,5,18.23,0,1,1,2,,,,2.571854091
669,2023,second,669second,1,1,1,7,18.29,0,0,0,0,55,0.053274776,pos,2.105352054
669,2023,second,669second,1,0,0,10,,,0,0.5,0.5,,,,
669,2023,second,669second,1,1,1,14,18.7,0,0,0,0,50,0.115677673,pos,0.163209186
669,2023,second,669second,1,0,0,17,,,0,0,0,,,,
669,2023,second,669second,1,1,1,21,19.31,0.5,0,0,0,52,0.136458093,pos,0
675,2023,second,675second,1,1,1,0,20.21,0,0,0,0,51,0.032079435,pos,0
675,2023,second,675second,1,1,0,1,19.28,0,0,0,0,,,,2.762530761
675,2023,second,675second,1,1,0,3,18.66,0,1,1,2,,,,2.853546815
675,2023,second,675second,1,1,0,5,18.63,0,1,1,2,,,,2.735013709
675,2023,second,675second,1,1,0,7,19.16,0,1,0,1,48,,,2.034212515
675,2023,second,675second,1,0,0,10,,,0,0,0,,,,
675,2023,second,675second,1,1,1,14,18.72,0,0,0,0,52,0.091433849,pos,1.925884558
675,2023,second,675second,1,0,0,17,,,0,0,0,,,,
675,2023,second,675second,1,1,0,21,18.74,0,0,0,0,54,,,0
678,2023,second,678second,1,1,1,0,23.8,2.5,0,0,0,59,0.057284705,pos,0
678,2023,second,678second,1,1,0,1,22.22,2.5,0,0,0,,,,
678,2023,second,678second,1,1,0,3,21.08,1.5,0,0.5,0.5,,,,2.707758884
678,2023,second,678second,1,1,0,5,20.2,1.5,1,1,2,,,,2.791823175
678,2023,second,678second,1,1,1,7,20.43,2,0.5,1,1.5,57,0.126026351,pos,2.426208982
678,2023,second,678second,1,0,0,10,,,0,0,0,,,,
678,2023,second,678second,1,1,1,14,21.42,2,0,0,0,58,0.130916647,pos,1.524674794
678,2023,second,678second,1,0,0,17,,,0,0,0,,,,
678,2023,second,678second,1,1,0,21,21.76,0.5,0,0,0,57,,,1.392318136
679,2023,second,679second,1,1,1,0,18.18,0,0,0,0,57,0.122016422,pos,0
679,2023,second,679second,1,1,0,1,17.88,0,0,0,0,,,,2.657422635
679,2023,second,679second,1,1,0,3,18.24,0,0,0.5,0.5,,,,2.720708255
679,2023,second,679second,1,1,0,5,18.59,0,0.5,0.5,1,,,,2.831268435
679,2023,second,679second,1,1,1,7,18.06,0,0,0,0,56,0.112850869,pos,2.525471081
679,2023,second,679second,1,0,0,10,,,0,0,0,,,,
679,2023,second,679second,1,1,1,14,18.48,0,0,0,0,50,0.105287462,pos,2.232312099
679,2023,second,679second,1,0,0,17,,,0,0,0,,,,
679,2023,second,679second,1,1,0,21,18.64,0,0,0,0,64,,,1.241745106
684,2023,second,684second,0,1,0,0,17.95,0.5,0,0,0,55,,,
684,2023,second,684second,0,1,0,1,16.99,0.5,0,0.5,0.5,,,,
684,2023,second,684second,0,1,0,3,16.15,0,1,1.5,2.5,,,,
684,2023,second,684second,0,1,0,5,20.37,0,1,1,2,,,,
684,2023,second,684second,0,1,0,7,17.02,1,0.5,1,1.5,51,,,
684,2023,second,684second,0,0,0,10,,,0,0,0,,,,
684,2023,second,684second,0,1,0,14,17.22,0,0,0,0,52,,,
684,2023,second,684second,0,0,0,17,,,0,0,0,,,,
684,2023,second,684second,0,1,0,21,19.99,0,0,0,0,57,,,
